temperature,induction_time,host_organism,vector_type,induction_condition,media_type,expression_level,solubility
26.367182020405163,3.110797573031718,S. cerevisiae,pBAD,Methanol,TB,0.3532814779099245,0.4334987144450396
36.16214320896857,5.251405684270149,S. cerevisiae,pET,IPTG,YPD,0.47461686011387716,0.0724556796852437
32.44389701079389,7.23767501525845,S. cerevisiae,pET,Methanol,TB,0.48982689755443803,0.47000340725874
30.177194231349624,6.393349318457367,P. pastoris,pTrc,Methanol,LB,0.599905097380453,0.6875382066833354
22.652316887521422,6.839366887168699,P. pastoris,pTrc,IPTG,M9,0.3051894381429663,0.9432194360148629
22.651906845715445,5.952700200264304,P. pastoris,pET,Methanol,M9,0.2563005023037637,0.8203500800913162
20.98742140685939,6.153659387107115,S. cerevisiae,pET,Arabinose,TB,0.20345717653932954,0.7297274197875883
34.7249944781739,7.0951739093919155,P. pastoris,pET,IPTG,LB,0.6512621205618463,0.830801176435546
30.21895519963455,3.4980080531551154,E. coli,pBAD,Arabinose,M9,0.40758882320087797,0.4354644621501131
32.03723382253277,4.936549781858843,E. coli,pBAD,IPTG,TB,0.5933846831211559,0.5649298259892471
20.349936403028643,3.3272566509176134,P. pastoris,pBAD,Methanol,TB,0.010257128497652493,0.6147290566140265
36.488467486753905,7.926008047979882,E. coli,pET,Methanol,LB,0.8573374537464753,0.4376089876707042
34.15152489360717,7.66435603811968,E. coli,pTrc,Methanol,YPD,0.8431142291614075,0.6563878917948222
23.609764881530694,2.2365608682110354,S. cerevisiae,pET,IPTG,TB,0.30290977078847725,0.6230004231085735
23.091024442520713,6.233451035094131,P. pastoris,pBAD,Arabinose,YPD,0.17436910420130902,0.792617254199506
23.117876667508376,7.5514899044939945,P. pastoris,pBAD,Arabinose,YPD,0.4586939875104033,0.7108271219379023
25.172118130312143,3.083452070764001,S. cerevisiae,pET,IPTG,M9,0.2268298691956621,0.5056961682158977
28.92085933774804,5.407671383315777,E. coli,pET,IPTG,YPD,0.4371011481575062,0.6203209525648454
27.34306531691597,7.492929785528251,E. coli,pBAD,Arabinose,LB,0.5586253459809775,0.754567372446826
24.950895383366714,2.2036758715147933,P. pastoris,pBAD,Arabinose,M9,0.1860825535669841,0.5261936672675376
30.40149921028045,6.1845216034810395,E. coli,pBAD,Arabinose,M9,0.5568087807350482,0.5896578515012104
22.37139563108471,3.784094044235305,S. cerevisiae,pET,Arabinose,M9,0.41255565675635386,0.5490246196915884
24.966459025098708,7.546377172259183,S. cerevisiae,pBAD,IPTG,TB,0.6598298821136277,0.6411888970088907
26.22815133599276,7.826349470992207,P. pastoris,pBAD,IPTG,TB,0.3005111666298523,0.9147303620794567
27.75318973168961,7.665598934680603,S. cerevisiae,pTrc,Methanol,YPD,0.44091992035279925,0.7034326616886452
33.34799134368123,4.845285299944782,S. cerevisiae,pET,Arabinose,M9,0.5296078921938778,0.40161491136656186
23.394454296692114,7.172255905935881,P. pastoris,pTrc,Methanol,M9,0.32698499355845084,0.8210815005205298
28.741985453031397,7.067296391210422,S. cerevisiae,pTrc,IPTG,LB,0.5482272641128682,0.6212810231677759
30.07104767065472,3.914602839459534,S. cerevisiae,pBAD,IPTG,YPD,0.517974365945099,0.46417907818302034
20.78965701623996,6.973492844904064,S. cerevisiae,pET,Methanol,LB,0.43876402446460916,1.0
30.328262482324455,2.2220458082929557,E. coli,pBAD,Arabinose,YPD,0.5347105961541339,0.47232324156563443
22.898910102683956,5.577619270892319,P. pastoris,pET,Arabinose,YPD,0.47118136788169956,0.7358762301914517
21.105877080749753,3.3800530237262185,P. pastoris,pTrc,Arabinose,TB,0.03752955607051488,0.6682757903916997
36.13105413330666,2.723401314663673,P. pastoris,pET,Arabinose,TB,0.5927589320673274,0.26049267734221865
36.415744562267506,2.461719209775255,E. coli,pBAD,Methanol,LB,0.5479742673744674,0.2524250377725224
33.74275491797984,6.177732655268839,E. coli,pBAD,Methanol,YPD,0.7462906949785695,0.44264378198648235
25.1784340759473,4.039249782608397,P. pastoris,pBAD,IPTG,M9,0.18867754207606913,0.7191969189927286
21.660425938108524,6.3486006291725685,E. coli,pET,Arabinose,TB,0.3659389303043833,0.5539609686139035
31.63196145070667,2.392138044793654,P. pastoris,pTrc,Arabinose,M9,0.4189372029668594,0.48772144001029305
27.48259239357322,3.8917420269836622,E. coli,pTrc,Arabinose,LB,0.28401752442061745,0.5864797949866017
22.07464999236124,5.236947754252023,S. cerevisiae,pET,Methanol,TB,0.4274600914232549,0.8339719839675783
28.418007471891592,6.744338989033781,S. cerevisiae,pBAD,Arabinose,TB,0.6184413697804402,0.7198606939075353
20.584604858958713,3.9125150175924195,P. pastoris,pTrc,Methanol,YPD,0.22445677974563977,0.7048938058344133
35.458446835339295,5.755348258622055,E. coli,pBAD,Arabinose,LB,0.6977087960319106,0.5402242382477938
